tipologia,ragazzi,locazione,label,id,pos
deposito,,,0,0,"[13.33352521881336, 46.010049138194574]"
fermata,"[2, 0, 0, 0]",VIAIPPOLITONIEVO21,1,1,"[13.333070548499375, 46.011592135492116]"
fermata,"[0, 17, 0, 0]",VIABELTRAME23,2,2,"[13.332481034239262, 46.00685608068721]"
fermata,"[7, 4, 0, 0]",VIAGORIZIA17,3,3,"[13.332006889588357, 46.011779665523946]"
fermata,"[0, 2, 0, 0]","VIALIPPE,FERMATAN.7",4,4,"[13.339888208550311, 46.01912388511622]"
fermata,"[0, 4, 0, 0]",VIADEGANUTTI&#10;FERMATAN3,5,5,"[13.333202605873304, 46.018368509384324]"
fermata,"[0, 2, 0, 0]",VIAS.GIACOMOTABELLAN25,6,6,"[13.340102597322604, 45.99918361441391]"
fermata,"[0, 2, 0, 0]",VIAP.M.D'AVIANOFERMATAN&#176;21,7,7,"[13.330196205996709, 46.010729342446275]"
fermata,"[0, 1, 0, 0]","VIASTEFANUTTI,FERMATA5",8,8,"[13.336214629037375, 46.01918358742248]"
fermata,"[0, 8, 0, 0]",VIATRIESTE13-FERMATA25,9,9,"[13.339412764291803, 45.999314233519044]"
fermata,"[0, 1, 0, 0]",VIAUDINEFERMATA36,10,10,"[13.328366466259409, 46.020028788257015]"
fermata,"[0, 5, 0, 0]","VIADIVISIONEJULIA,47",11,11,"[13.329696748576575, 46.01092472889287]"
fermata,"[1, 3, 0, 0]",VIAA.MANZONI-FERMATANR.34,12,12,"[13.335574744098832, 46.02091466197524]"
fermata,"[0, 8, 0, 0]","VIARONCUZ,FERMATA12",13,13,"[13.326947840304118, 46.01778681721185]"
fermata,"[4, 7, 0, 0]","VIAPRADAMANO,FERMATA13",14,14,"[13.329811696254819, 46.015173106898395]"
fermata,"[0, 2, 0, 0]",VIAP.M.D'AVIANOFERMATAN.20,15,15,"[13.331240309217243, 46.008979472861995]"
cluster,,,16,16,"[13.337971, 46.000032]"
cluster,,,17,17,"[13.337188, 46.017635]"
